html_review	label
<product-review><meta><pid>35897865</pid><category>Sports</category><brand>TechPro</brand><item>Rain Jacket</item></meta><score value="5" max="5"/><reviewer username="daily_user_42" verified="yes"/><timestamp day="3" month="Mar" year="2018"/><helpful-count>124</helpful-count><review-text>After researching for months I finally pulled the trigger and I am so glad I did. Packaging was secure and professional and the product arrived in perfect condition. Battery life is outstanding and far exceeds what the product description claims. This brand has earned a lifelong customer with this outstanding product.</review-text></product-review>	1
<product-review><meta><pid>14191828</pid><category>Books</category><brand>ApexGear</brand><item>Portable Charger</item></meta><score value="2" max="5"/><reviewer username="verified_buyer_A" verified="no"/><timestamp day="15" month="Jan" year="2020"/><helpful-count>13</helpful-count><review-text>Overpriced, underperforming, and backed by a customer service team that could not care less. Hardware is clearly substandard and you can feel it in every interaction with the product. The product overheats dangerously fast and automatically shuts off mid-task constantly. The only thing impressive about this product is how consistently it fails to deliver.</review-text></product-review>	0
<product-review><meta><pid>50957621</pid><category>Sports</category><brand>UrbanMade</brand><item>Sunglasses</item></meta><score value="4" max="5"/><reviewer username="deal_hunter_99" verified="no"/><timestamp day="11" month="Dec" year="2018"/><helpful-count>292</helpful-count><review-text>I was skeptical at first given the price point but this product more than justifies the cost. The attention to detail in the design shows this was made by people who actually use the product. Battery life is outstanding and far exceeds what the product description claims. Already recommended this to everyone I know and every single one of them thanks me.</review-text></product-review>	1
<product-review><meta><pid>45847656</pid><category>Home & Kitchen</category><brand>PureChoice</brand><item>Document Scanner</item></meta><score value="2" max="5"/><reviewer username="trusted_voice" verified="no"/><timestamp day="20" month="Feb" year="2019"/><helpful-count>290</helpful-count><review-text>I really wanted to love this product but after two weeks I am deeply disappointed. Hardware is clearly substandard and you can feel it in every interaction with the product. The product overheats dangerously fast and automatically shuts off mid-task constantly. Do yourself a favour and spend a little more for a product that actually works as described.</review-text></product-review>	0
<product-review><meta><pid>93174457</pid><category>Garden</category><brand>ZenCraft</brand><item>Mechanical Keyboard</item></meta><score value="4" max="5"/><reviewer username="value_seeker" verified="yes"/><timestamp day="17" month="Jul" year="2023"/><helpful-count>217</helpful-count><review-text>I bought one for myself and immediately ordered two more as gifts for family members. The build quality is exceptional â€” every component feels solid and thoughtfully engineered. It does exactly what it promises and does it reliably every single time without fail. I cannot recommend this product strongly enough to anyone considering a purchase.</review-text></product-review>	1
<product-review><meta><pid>10042334</pid><category>Toys</category><brand>NovaBrand</brand><item>LED Desk Lamp</item></meta><score value="2" max="5"/><reviewer username="detail_oriented" verified="no"/><timestamp day="25" month="Jun" year="2019"/><helpful-count>197</helpful-count><review-text>The photos and description paint a very different picture from what actually arrives. The seams are uneven the finish is rough and the overall construction feels rushed and careless. It stopped working entirely after just three weeks of light and careful use. This brand has permanently lost my business and I will be shopping elsewhere from now on.</review-text></product-review>	0
<product-review><meta><pid>43956679</pid><category>Garden</category><brand>MindfulMade</brand><item>Coffee Maker</item></meta><score value="4" max="5"/><reviewer username="weekend_buyer" verified="yes"/><timestamp day="24" month="Jan" year="2024"/><helpful-count>212</helpful-count><review-text>I have been using this product for several weeks now and it has completely exceeded my expectations. Everything fits together perfectly with no loose parts or manufacturing defects whatsoever. Battery life is outstanding and far exceeds what the product description claims. If you are on the fence just go ahead and order it because you will love it.</review-text></product-review>	1
<product-review><meta><pid>19453280</pid><category>Clothing</category><brand>ClearView</brand><item>Smart Watch</item></meta><score value="2" max="5"/><reviewer username="keen_observer" verified="no"/><timestamp day="13" month="Jul" year="2024"/><helpful-count>160</helpful-count><review-text>I regret not reading the one-star reviews more carefully before placing this order. Compared to competing products at a similar price point this feels like a dollar store knockoff. Connectivity drops constantly and the pairing process has to be repeated from scratch every time. Avoid at all costs unless you enjoy the process of filing returns and writing angry reviews.</review-text></product-review>	0
<product-review><meta><pid>30889541</pid><category>Toys</category><brand>PureChoice</brand><item>Knife Set</item></meta><score value="1" max="5"/><reviewer username="trusted_voice" verified="no"/><timestamp day="20" month="Mar" year="2018"/><helpful-count>114</helpful-count><review-text>This product failed to perform its most basic function reliably from day one. Visible scratches right out of the box suggest the quality control process is nonexistent. After a firmware update it became even less functional and customer support was no help. This brand has permanently lost my business and I will be shopping elsewhere from now on.</review-text></product-review>	0
<product-review><meta><pid>41552898</pid><category>Garden</category><brand>ZenCraft</brand><item>Smart Watch</item></meta><score value="1" max="5"/><reviewer username="detail_oriented" verified="yes"/><timestamp day="19" month="Mar" year="2018"/><helpful-count>10</helpful-count><review-text>This product failed to perform its most basic function reliably from day one. Components do not fit together properly and the whole thing wobbles on any flat surface. After a firmware update it became even less functional and customer support was no help. Avoid at all costs unless you enjoy the process of filing returns and writing angry reviews.</review-text></product-review>	0
<product-review><meta><pid>71043638</pid><category>Electronics</category><brand>PrimePick</brand><item>Air Purifier</item></meta><score value="1" max="5"/><reviewer username="value_seeker" verified="yes"/><timestamp day="18" month="Mar" year="2018"/><helpful-count>166</helpful-count><review-text>This is my first negative review ever and this product absolutely earned it the hard way. Visible scratches right out of the box suggest the quality control process is nonexistent. Basic functions either do not work at all or behave so inconsistently they are unusable. I would give zero stars if the platform allowed it â€” that is how poor this experience was.</review-text></product-review>	0
<product-review><meta><pid>75652592</pid><category>Beauty</category><brand>MindfulMade</brand><item>Ring Light</item></meta><score value="5" max="5"/><reviewer username="budget_hawk" verified="no"/><timestamp day="10" month="Nov" year="2020"/><helpful-count>57</helpful-count><review-text>This product solved a problem I had been struggling with for years in a single purchase. Everything fits together perfectly with no loose parts or manufacturing defects whatsoever. The features are intuitive and well thought out making the learning curve virtually nonexistent. Do not hesitate â€” buy it now and you will not be disappointed in the slightest.</review-text></product-review>	1
<product-review><meta><pid>99246422</pid><category>Automotive</category><brand>ClearView</brand><item>Document Scanner</item></meta><score value="1" max="5"/><reviewer username="daily_user_42" verified="yes"/><timestamp day="2" month="Sep" year="2021"/><helpful-count>282</helpful-count><review-text>This product failed to perform its most basic function reliably from day one. The plastic feels cheap and flimsy and creaks loudly with even the gentlest handling. The product overheats dangerously fast and automatically shuts off mid-task constantly. I would give zero stars if the platform allowed it â€” that is how poor this experience was.</review-text></product-review>	0
<product-review><meta><pid>10449051</pid><category>Beauty</category><brand>NorthMade</brand><item>Massage Gun</item></meta><score value="4" max="5"/><reviewer username="daily_user_42" verified="yes"/><timestamp day="15" month="Jun" year="2023"/><helpful-count>79</helpful-count><review-text>I bought this as a replacement for a cheaper alternative and the difference is night and day. Durability is outstanding â€” I have put it through serious use and it shows zero signs of wear. Precisely calibrated and accurate â€” far more so than competing products at this price level. This is the gold standard in its category and everything else pales in comparison.</review-text></product-review>	1
<product-review><meta><pid>85989880</pid><category>Beauty</category><brand>EcoSmart</brand><item>Hiking Boots</item></meta><score value="2" max="5"/><reviewer username="bargain_finder" verified="no"/><timestamp day="15" month="Apr" year="2021"/><helpful-count>175</helpful-count><review-text>I really wanted to love this product but after two weeks I am deeply disappointed. The plastic feels cheap and flimsy and creaks loudly with even the gentlest handling. Connectivity drops constantly and the pairing process has to be repeated from scratch every time. A deeply frustrating experience from unboxing to return and I want my money back.</review-text></product-review>	0
<product-review><meta><pid>10155765</pid><category>Home & Kitchen</category><brand>BoldLine</brand><item>Smart Plug</item></meta><score value="2" max="5"/><reviewer username="budget_hawk" verified="yes"/><timestamp day="27" month="Sep" year="2023"/><helpful-count>20</helpful-count><review-text>I really wanted to love this product but after two weeks I am deeply disappointed. Visible scratches right out of the box suggest the quality control process is nonexistent. Setup was a confusing nightmare and the included instructions are vague and unhelpful. Do yourself a favour and spend a little more for a product that actually works as described.</review-text></product-review>	0
<product-review><meta><pid>70765113</pid><category>Office</category><brand>NovaBrand</brand><item>Foam Roller</item></meta><score value="4" max="5"/><reviewer username="budget_hawk" verified="yes"/><timestamp day="20" month="Oct" year="2024"/><helpful-count>1</helpful-count><review-text>Absolutely worth every penny â€” this purchase has genuinely improved my daily routine. Packaging was secure and professional and the product arrived in perfect condition. Battery life is outstanding and far exceeds what the product description claims. I cannot recommend this product strongly enough to anyone considering a purchase.</review-text></product-review>	1
<product-review><meta><pid>38702607</pid><category>Automotive</category><brand>PureChoice</brand><item>Backpack</item></meta><score value="1" max="5"/><reviewer username="techie_shopper" verified="yes"/><timestamp day="4" month="Aug" year="2023"/><helpful-count>26</helpful-count><review-text>Overpriced, underperforming, and backed by a customer service team that could not care less. Compared to competing products at a similar price point this feels like a dollar store knockoff. After a firmware update it became even less functional and customer support was no help. Returning this immediately and choosing a competitor â€” lesson learned the expensive way.</review-text></product-review>	0
<product-review><meta><pid>76404028</pid><category>Toys</category><brand>SwiftBuy</brand><item>Planner</item></meta><score value="1" max="5"/><reviewer username="keen_observer" verified="no"/><timestamp day="12" month="Jul" year="2018"/><helpful-count>51</helpful-count><review-text>I have now gone through two units of this product and both have had the exact same issues. Visible scratches right out of the box suggest the quality control process is nonexistent. After a firmware update it became even less functional and customer support was no help. The only thing impressive about this product is how consistently it fails to deliver.</review-text></product-review>	0
<product-review><meta><pid>25887679</pid><category>Clothing</category><brand>MindfulMade</brand><item>Coffee Maker</item></meta><score value="5" max="5"/><reviewer username="budget_hawk" verified="no"/><timestamp day="16" month="Mar" year="2023"/><helpful-count>23</helpful-count><review-text>Absolutely worth every penny â€” this purchase has genuinely improved my daily routine. Packaging was secure and professional and the product arrived in perfect condition. The features are intuitive and well thought out making the learning curve virtually nonexistent. If you are on the fence just go ahead and order it because you will love it.</review-text></product-review>	1
